100, 98, 101, 102
101, 99, 97, 100
98, 103, 105, 102, 97, 99
102, 103, 101, 99, 97
98, 97
101, 102
99, 97, 101
102, 104, 103, 98, 97, 99
97, 98, 99
98, 97
97, 98, 99
100, 101, 108, 98, 106, 105, 107, 102
108, 100, 105, 102, 107, 98, 99, 103, 106, 101
97
97, 99, 101
98, 101, 100, 99
97, 99
98, 99, 97
102, 97, 98
